107100004731	,三八新村,3室1厅,90平米,2800
107002387826	,东亚启航公馆,2室2厅,88平米,2500
107000380586	,艺泰安邦,2室2厅,87平米,2500
107002481366	,绿地峰汇,1室1厅,76平米,3200
107000933988	,中洲珑悦,4室2厅,160平米,2200
107002430684	,东亚启航公馆,2室1厅,79平米,2000
107002505178	,听潮四村,2室2厅,82平米,2200
107001956060	,康达公寓,2室2厅,119平米,1500
107100097365	,人生港湾南欧城,2室2厅,86平米,3000
107100093144	,桃李园小区,3室2厅,130平米,2200
107002307300	,丝庐雅苑(公寓),2室2厅,88平米,1800
107100419740	,百花新村,2室1厅,77平米,3400
107100427192	,上炼一村,1室0厅,40平米,2000
107100431112	,丽水雅苑,3室1厅,88平米,2100
107100280185	,周浦新村,3室1厅,90平米,3800
107100305664	,和合新村,2室1厅,72平米,3800
107100334933	,丝庐雅苑(公寓),2室2厅,88平米,1800
107100319958	,彩虹雅苑,3室2厅,127平米,3300
107100342947	,金宝公寓,2室1厅,103平米,2300
107100082789	,美林小城,3室2厅,115平米,3900
107100146846	,丝庐雅苑(公寓),2室2厅,88平米,1500
107100127609	,中洲珑悦,3室2厅,120平米,2100
107100353577	,金地城三期御领,3室2厅,126平米,3600
107100201230	,听潮六村,2室2厅,93平米,2000
107100197574	,禹洲商业广场,1室1厅,58平米,1300
107100261856	,康桥阳光大厦,1室1厅,32平米,3000
107100372983	,民乐城丽冬苑,2室1厅,74平米,1000
107100380901	,石笋一村,3室1厅,84平米,2400
107100390866	,东方冠郡,4室2厅,167平米,3000
107100388116	,振兴新村,2室2厅,77平米,2200
107100305334	,桃园新城中城苑,2室1厅,76平米,3300
107100331040	,绿洲康城亲水湾(中央区),1室1厅,61平米,3500
107100345943	,朗诗未来树,3室2厅,78平米,3300
107100364655	,繁荣馨苑,2室1厅,92平米,3800
107100115728	,中环滨江大厦,1室1厅,36平米,3300
107100219017	,乐源城C区,2室1厅,89平米,2800
107100015206	,绿地东上海,2室2厅,89平米,3200
107100164092	,西门新村,2室1厅,57平米,2000
107100223460	,兴东佳苑(一期),3室2厅,120平米,3800
107100214557	,欧风家园,2室1厅,70平米,2200
107100308749	,金汇广场(二期),2室1厅,81平米,2500
107100314459	,千汇苑,2室2厅,81平米,1600
107100421856	,周康四村,2室1厅,84平米,3000
107100431833	,千汇苑一村,3室2厅,104平米,2800
107100339698	,古馨苑,3室1厅,105平米,2900
107100356229	,民乐城兰丽苑(西苑),3室1厅,85平米,1200
107100379705	,金梅雅苑,3室2厅,116平米,3500
107100187171	,桃源艺筑,3室2厅,116平米,3800
107100201672	,东方城市豪庭,3室1厅,96平米,3200
107100199354	,人生港湾南欧城,2室2厅,90平米,3400
107100278664	,东港花苑三村,3室1厅,102平米,2400
107100262003	,丽水雅苑北苑,2室1厅,71平米,1000
107100439886	,汇腾东苑,1室1厅,52平米,2600
107100445405	,兴东佳苑(一期),3室2厅,132平米,3300
107100447985	,丽水雅苑,1室1厅,51平米,1200
107100454718	,南田公寓,3室2厅,106平米,2800
107100454205	,荡湾新村,2室1厅,54平米,2000
107100188562	,东方冠郡,2室2厅,98平米,3200
107100207350	,德盈佳园,2室2厅,91平米,2500
107100261223	,古春苑,3室2厅,129平米,1800
107100388400	,盛泰家园,3室2厅,109平米,2200
107100404041	,听潮二村,2室1厅,60平米,2300
107100408776	,兴东佳苑(一期),2室2厅,92平米,3500
107100423342	,惠益新苑南苑,2室1厅,80平米,1200
107100342386	,艺泰安邦,2室2厅,91平米,2300
107100330773	,千汇苑,3室2厅,104平米,1800
107100393542	,龙沟新苑,3室2厅,115平米,3300
107100388078	,云锦名苑,2室2厅,83平米,1000
107100410836	,朗诗未来树,2室2厅,81平米,3000
107100410160	,绿地峰汇,2室1厅,55平米,2700
107100260675	,艺泰安邦,3室2厅,139平米,2500
107100259720	,绿地康桥新苑,2室2厅,96平米,3600
SH0004013418	,潍坊二村,2室1厅,10平米,2690
107100282734	,西南新村,2室1厅,54平米,1500
107100288970	,印象生活广场,1室1厅,39平米,3650
107100261955	,思凡南苑,2室1厅,76平米,2800
107100278160	,印象春城,2室2厅,91平米,3400
107100319279	,丝庐雅苑(公寓),2室1厅,89平米,1800
107100377873	,千汇苑,3室2厅,125平米,2800
107100368742	,红光花苑,3室2厅,111平米,2500
107100279223	,民乐城惠益绿苑,2室1厅,78平米,1400
107100283746	,祝康南苑,3室2厅,105平米,3100
107100365297	,东方冠郡,2室2厅,94平米,2600
107100354684	,晨阳小区,3室1厅,100平米,3300
107100385251	,塘南小区,1室1厅,30平米,3200
107100176448	,长城珑湾,1室1厅,68平米,2800
107100203872	,晨阳小区,2室2厅,76平米,2500
107100201683	,东方城市豪庭,2室1厅,66平米,2300
107100210500	,丽水雅苑北苑,2室1厅,72平米,1000
107100244780	,布鲁斯小镇(别墅),3室2厅,151平米,2800
107002318212	,丽水雅苑北苑,3室1厅,82平米,2100
107002295688	,德盈佳园,2室1厅,89平米,1200
107100028932	,清风花苑,2室2厅,81平米,1300
107002082540	,宣桥枫庭,2室2厅,84平米,2500
107001946634	,东都小区,1室1厅,49平米,2400
107001009684	,远洋万和四季,2室2厅,80平米,1500
107002450760	,金宝公寓,2室2厅,103平米,3600
107002251804	,新育公寓,2室2厅,115平米,3700
107001399222	,艺泰一品花园,3室2厅,170平米,2500
107100055134	,靖海苑(公寓),3室2厅,125平米,2800
107100472447	,周康四村,2室1厅,74平米,3700
107100404439	,鹏润伊顿公馆,2室1厅,85平米,3300
107100409768	,新舒苑,3室2厅,121平米,1100
107100408064	,祝康南苑,3室2厅,105平米,2000
SH0005557700	,尚海郦景,5室3厅,9平米,2690
107100580020	,星金家园,2室1厅,81平米,3200
107100575221	,潍坊一村,1室0厅,30平米,3800
107100424616	,果园一村,2室2厅,78平米,3300
107100526750	,高行银杏苑,2室1厅,71平米,3600
107100094343	,金海商业广场,1室1厅,67平米,2900
107100574520	,绿川小区,2室1厅,59平米,3500
107100484423	,高东新村,2室1厅,66平米,3600
107100490232	,高桥二村,2室0厅,50平米,3400
107002546974	,梅园二街坊,1室1厅,32平米,3000
107100285877	,繁荣华庭,1室1厅,60平米,2400
107100574140	,信诚丽都苑,2室1厅,70平米,3500
107100453149	,城西小区,1室1厅,38平米,3300
107100569226	,青厦小区,2室1厅,57平米,3500
107002280744	,彩虹新村,3室1厅,95平米,3400
SH0005518141	,东方城市绿洲,3室1厅,14平米,2030
SH0005518139	,东方城市绿洲,3室1厅,12平米,1990
SH0005537919	,都林龙苑,4室1厅,13平米,2290
SH0005509624	,绿波城,3室1厅,15平米,2030
SH0005509625	,绿波城,3室1厅,9平米,1690
SH0005509626	,绿波城,3室1厅,16平米,2290
107100573570	,金桥新村四街坊(长岛路1203弄),1室1厅,50平米,3800
SH0005517496	,创新佳苑,3室1厅,12平米,1930
SH0005516744	,银杏苑(三林),3室1厅,15平米,2030
SH0005516746	,银杏苑(三林),3室1厅,16平米,2090
SH0005547231	,东三小区,1室1厅,40平米,3990
SH0005537929	,上浦小区,3室1厅,12平米,1760
SH0005537928	,上浦小区,3室1厅,13平米,2130
SH0005508414	,海尚康庭,2室1厅,75平米,3960
SH0005554300	,东方路3391弄,3室1厅,14平米,2690
107100513661	,荡湾新村,2室1厅,53平米,1800
107100515766	,汇福家园祥和里,2室1厅,80平米,3100
107100522815	,海曲雅苑,1室1厅,67平米,1500
107002444308	,锦绣汇丽苑,3室2厅,119平米,2600
107100528640	,汇善嘉苑,2室1厅,76平米,3600
107100115687	,培花七村,1室1厅,56平米,3500
107100533078	,绿地东上海,2室2厅,86平米,3800
SH0004914848	,龙昌苑,4室1厅,10平米,2090
107100536627	,德盈佳园,2室1厅,83平米,2500
107100495404	,绿地峰汇,2室1厅,47平米,2300
107100531840	,绿川新苑,1室1厅,46平米,3500
107100429100	,汇腾南苑,3室1厅,82平米,2800
107002424630	,长达佳苑宜居尚城,2室2厅,83平米,2500
107002166788	,丽水雅苑北苑,3室1厅,81平米,1100
107100527010	,双秀西园,2室2厅,79平米,3500
SH0004901123	,中虹家园,3室1厅,9平米,1790
107100536704	,三林路430弄,1室0厅,38平米,3800
SH0004907551	,东二小区,3室1厅,10平米,2390
SH0004908404	,鑫港苑,4室1厅,16平米,2090
107100537461	,汇枫公寓,2室1厅,76平米,3200
107100538145	,天和湖滨家园(公寓),1室1厅,73平米,3150
SH0004807829	,金枫公寓,4室1厅,15平米,1590
107100521646	,培元新苑,1室1厅,58平米,3500
107100402690	,惠康苑,2室1厅,79平米,1500
107100484002	,公元三村,2室2厅,87平米,3500
107100431187	,中洲里程,3室2厅,119平米,1800
107100543061	,文化新村(惠南),2室2厅,98平米,2000
107100542392	,工农新村(新场),2室1厅,54平米,1700
107100543602	,汇锦城二期,2室1厅,84平米,3300
107100499806	,建南新村,3室2厅,129平米,3000
107100428532	,德盈佳园,2室1厅,59平米,1800
107100356577	,聚龙家园,2室1厅,74平米,3300
107100424777	,晨阳小区,3室2厅,100平米,3500
107100438636	,南园坊,6室2厅,233平米,3500
107100446358	,东城花苑二村,3室2厅,126平米,3200
107100151842	,康敏苑,3室2厅,126平米,2800
107100166517	,禹洲商业广场,1室1厅,56平米,2000
107100203981	,人生港湾南欧城,3室2厅,131平米,2000
107100463189	,凯德新视界(二期),3室2厅,92平米,1000
107100464459	,莎海惠晨苑,2室2厅,95平米,2800
107100465125	,妙栏小区,2室2厅,73平米,3400
107100200281	,丝庐雅苑(公寓),2室2厅,89平米,1500
107100242261	,颐盛御中环,1室1厅,51平米,3000
107100231995	,民乐城丽园,2室2厅,92平米,2000
107100281560	,古馨苑,2室2厅,101平米,1600
107100353450	,日月星城,3室1厅,86平米,2600
107100370446	,云帆雅苑,2室1厅,84平米,1600
107100395036	,龙源星城,1室2厅,64平米,2300
107100400458	,丝庐雅苑(公寓),2室2厅,88平米,1800
107100570799	,南新六村,1室1厅,46平米,3000
107100549203	,中虹家园,2室1厅,70平米,3000
107100575811	,丽都华庭,1室2厅,69平米,2200
107100558732	,印象生活广场,1室1厅,42平米,3900
107100553388	,富特四村,1室1厅,44平米,3000
SH0005555738	,阳光苑,3室1厅,13平米,2190
SH0005556009	,春江花悦园,4室1厅,11平米,2090
107100534418	,安阁苑,2室1厅,70平米,3200
107100560812	,印象生活广场,2室1厅,41平米,3800
107100576195	,西北新村,2室2厅,88平米,1800
107000718760	,布鲁斯小镇(别墅),3室2厅,136平米,3000
SH0005508262	,蝶恋园,6室1厅,17平米,2490
SH0005516529	,杉林新月环林东路799弄,3室1厅,7平米,1790
SH0005558807	,东方康德家园,1室1厅,55平米,3930
SH0005531753	,芳华路229弄,3室1厅,11平米,2590
SH0005531754	,芳华路229弄,3室1厅,9平米,2290
SH0005531755	,芳华路229弄,3室1厅,9平米,1990
SH0005508714	,南国龙苑,4室1厅,15平米,2590
SH0005508716	,南国龙苑,4室1厅,15平米,1890
SH0005508715	,南国龙苑,4室1厅,15平米,2390
SH0005493253	,川沙公寓,3室1厅,12平米,1760
SH0005493252	,川沙公寓,3室1厅,15平米,2360
SH0005493254	,川沙公寓,3室1厅,13平米,2130
SH0005494156	,恒大华城东林苑,3室1厅,9平米,2330
SH0005494155	,恒大华城东林苑,3室1厅,7平米,1860
SH0005500475	,联洋年华,4室1厅,14平米,3690
SH0005551803	,澳丽花园,3室1厅,12平米,2690
SH0005551804	,澳丽花园,3室1厅,14平米,3490
SH0005516537	,凌霄苑,3室1厅,11平米,2390
SH0005516536	,凌霄苑,3室1厅,12平米,2030
SH0005516539	,凌霄苑,3室1厅,16平米,2030
107100523862	,浦江东旭公寓,2室1厅,65平米,3600
107100532233	,荡湾新村,1室1厅,40平米,1300
SH0005372697	,大华锦绣华城(四街区),4室1厅,8平米,1760
SH0003076671	,锦绣华都,4室1厅,6平米,1230
SH0005198818	,浦发绿城,4室1厅,11平米,1790
SH0004323384	,大华锦绣华城(四街区),4室1厅,8平米,1860
SH0005378335	,三林世博家园(大道站路94弄),3室1厅,12平米,1760
SH0005514561	,花木苑,4室1厅,14平米,2560
SH0005500980	,三林世博家园(大道站路94弄),4室1厅,13平米,1860
SH0005500982	,三林世博家园(大道站路94弄),4室1厅,11平米,1790
107100559641	,东绣苑,2室1厅,82平米,2800
107100572159	,临沂六村,1室1厅,38平米,3600
107100407064	,丽水雅苑北苑,2室1厅,69平米,1100
107100553631	,民乐城丽园,1室1厅,64平米,1200
107100563298	,听潮五村,2室1厅,63平米,2500
SH0005538403	,莲怡苑,6室1厅,10平米,1630
SH0005538399	,莲怡苑,6室1厅,10平米,1790
107100571813	,文兰小区,1室1厅,35平米,3700
107100563194	,德盈佳园,3室2厅,111平米,2500
107100572014	,千汇苑二村,2室1厅,61平米,2500
SH0005516104	,联城花苑,3室1厅,12平米,2590
107100569658	,汇锦城三期,2室1厅,89平米,3000
SH0005508983	,荣城花苑,3室1厅,11平米,3160
107100243683	,西北新村,3室1厅,90平米,2500
SH0005534743	,金海华城华美新苑,3室1厅,12平米,1630
107100572381	,东城花苑一村,2室2厅,96平米,2500
107100573630	,汇福家园吉祥里,1室2厅,57平米,2800
SH0005538400	,莲怡苑,6室1厅,10平米,1590
SH0005540085	,东方御水湾,3室1厅,14平米,1890
107100569947	,心圆西苑,1室1厅,53平米,3000
SH0005529881	,金桥湾清水苑,3室1厅,12平米,2360
107100485323	,印象春城,2室2厅,88平米,3000
107100549708	,印象生活广场,1室1厅,42平米,3800
107100567146	,西北新村,2室1厅,57平米,1700
107100563953	,园西小区,2室1厅,53平米,3300
107100549192	,中虹家园,2室1厅,70平米,3000
107100493408	,川虹新苑,1室1厅,57平米,3300
107100514381	,欧风家园,2室2厅,71平米,3300
107100527794	,丽江锦庭,1室0厅,40平米,3000
SH0005536997	,环龙新纪园,4室1厅,11平米,2890
107100370481	,桃源艺筑,2室1厅,88平米,3300
107100472894	,中洲珑悦,3室2厅,135平米,2050
107100403198	,鹏润伊顿公馆,2室1厅,88平米,3000
107100423537	,欧风家园,3室2厅,102平米,3800
107100422903	,彩虹雅苑,3室2厅,110平米,3200
107100365476	,荷风翠庭,3室2厅,104平米,2000
107100383846	,瑞阳苑,2室1厅,75平米,3200
107100444314	,祝和苑,4室2厅,139平米,3500
107100400372	,东方冠郡,3室2厅,111平米,2800
107100411592	,丽泽菊清苑,2室1厅,82平米,1100
107100420881	,祝安苑,2室1厅,65平米,2000
107100459437	,绿地峰汇,2室1厅,52平米,2500
107100489999	,千汇苑,3室2厅,125平米,3500
107100431850	,惠南一方新城,2室1厅,64平米,3000
107100432315	,申云小区,3室2厅,128平米,3000
107100437606	,东城花苑一村,3室2厅,112平米,2700
107100448013	,丽水雅苑,1室1厅,51平米,1200
107100455448	,华川家园,3室1厅,112平米,3200
107100336781	,民乐城惠益绿苑,2室2厅,79平米,2400
107100329847	,丝庐雅苑(公寓),2室2厅,88平米,1600
107100537879	,美林小城,2室1厅,87平米,3900
107100562027	,听潮四村,3室2厅,86平米,2500
SH0005522782	,御沁园(公寓),4室1厅,7平米,1230
107100503700	,新德佳苑,1室1厅,51平米,3000
107100476067	,云帆花苑,2室2厅,82平米,1600
107100553824	,海尚康庭,2室1厅,73平米,3800
107100473810	,布鲁斯小镇(公寓),2室2厅,96平米,1300
107002527466	,云帆花苑,3室2厅,120平米,2800
107100499789	,达城家园,1室1厅,54平米,3200
107100468118	,祝和苑,2室2厅,84平米,2000
107100503126	,昱龙家园,2室2厅,73平米,2500
107100503083	,博佳花园,2室2厅,98平米,2800
107100507719	,思凡南苑,2室2厅,84平米,2800
107100507878	,天健萃园,3室2厅,102平米,2600
107100479959	,潍坊九村,1室1厅,34平米,3800
107100476149	,芳雅苑,1室0厅,28平米,3000
107100497171	,罗山一村,1室1厅,50平米,3900
107100466518	,施湾家园,3室2厅,108平米,3600
107100462149	,繁荣安居,2室2厅,90平米,3200
107100468542	,思凡花苑六街坊,3室2厅,98平米,3500
107100488835	,思凡花苑三街坊,2室1厅,74平米,2300
107100494237	,锦福苑,3室1厅,86平米,3800
107100483901	,桃园新城中虹佳园,3室2厅,103平米,2500
107100451744	,丝庐雅苑(公寓),2室2厅,88平米,1500
107100492004	,海曲雅苑,2室2厅,84平米,3200
107100498881	,临沂八村,1室0厅,36平米,3500
107100461145	,艺泰安邦,3室2厅,137平米,3800
107100471125	,金利公寓,1室1厅,51平米,3800
107100368382	,新建路82弄(浦东),2室1厅,96平米,2499
107100445068	,千汇苑一村,3室2厅,106平米,3200
107100505126	,祝安苑,3室2厅,125平米,3500
107100498037	,靖海苑(公寓),3室2厅,110平米,3000
107100476335	,康桥宝邸,2室2厅,80平米,3800
107100477398	,东都小区,2室1厅,47平米,3200
107100479885	,艺泰安邦,2室1厅,92平米,2500
107100474554	,东方城市豪庭,2室2厅,105平米,2000
107100469813	,中洲里程,3室1厅,95平米,3500
107100480320	,云帆佳苑,2室1厅,59平米,1500
107100481785	,千汇苑,2室2厅,82平米,1600
107100488726	,鑫港苑,2室2厅,86平米,3700
107100493234	,水上新村(浦东),2室1厅,50平米,1500
107100487086	,新舒苑,2室1厅,81平米,1600
107100490373	,龙源星城,2室1厅,104平米,2700
107100493303	,祝安苑,2室1厅,65平米,2300
107100498882	,海三小区,1室1厅,31平米,3800
107100467471	,云树仁居,2室2厅,81平米,1000
107100492407	,中洲珑悦,3室2厅,135平米,2000
107100484164	,民乐城汇雅苑,3室1厅,84平米,1600
107100509314	,绿地峰汇,4室2厅,65平米,2700
SH0004808279	,保集澜湾(公寓),4室1厅,16平米,1730
107100469952	,民乐城文竹苑,2室1厅,77平米,1000
107100485255	,博佳花园,3室2厅,122平米,3200
107100482059	,鹤沙航城东茗苑,2室1厅,61平米,2500
107100480498	,听潮六村,2室2厅,81平米,2000
107100493982	,晨阳小区,2室1厅,74平米,2800
107100451793	,桃园新城中城苑,2室1厅,71平米,3000
107100459134	,汇枫公寓,1室1厅,56平米,2300
107100468833	,浦建小区,1室1厅,39平米,3500
107100476885	,上炼一村,1室0厅,33平米,2300
107100484645	,祝和苑,3室2厅,126平米,3200
107002387146	,绿地东岸涟城,2室2厅,201平米,3800
107002562434	,市场路75弄,2室1厅,67平米,3800
107002542818	,欣松苑,3室2厅,136平米,2800
107002170472	,汇锦城三期,3室1厅,91平米,1600
107001932060	,艺泰安邦,3室2厅,137平米,3600
107001943626	,中洲珑悦,3室2厅,135平米,1700
107100115764	,中洲里程,3室2厅,89平米,2000
107100216230	,丝庐雅苑(公寓),2室2厅,88平米,1800
107000684874	,文化新村(惠南),3室1厅,91平米,2100
107001987972	,沈默花苑,1室1厅,42平米,3600
107001002030	,东城花苑二村一区,3室2厅,127平米,3200
